,basin,nse,bias,stdev,obs5,sim5,obs95,sim95,obs0,sim0,obsL,simL,obsH,simH,obsFDC,simFDC
74,09047700,-0.10495257331837204,-0.5822563496362847,1.5726063753468262,0.1757718324661255,0.2257713920188546,2.5848798751831055,4.584116846993286,0,0,0,0,164,474,-1.1556592013421245,-2.123874903351659
75,09107000,0.4382725317297854,-0.17854939976812811,1.3394906758526333,0.22149188816547394,0.19696310989595636,2.9982618570327717,3.872888608666961,0,0,0,0,171,419,-1.8367753741448487,-2.4458830501312905
76,09306242,-13.015993267899962,-4.8609902891622765,3.231977995136047,0.004160518292337656,0.06486016666628223,0.10698476433753967,0.6636424332045008,0,0,138,0,219,107,-2.3496522457462095,-1.531484226807979
77,09352900,0.3157428079207476,-0.040014119616340944,1.0840118658128473,0.19552387297153473,0.24276791014447058,7.377767562866211,8.35915972178042,0,0,104,5,297,735,-3.600680176500452,-3.4118801954882967
78,09492400,-0.07390125492634336,0.7187652416236877,0.2178611579053551,0.16318853199481964,0.06717309733972109,2.389372301101671,0.5407216721734761,0,0,0,0,195,22,-1.9450118543398391,-1.5588736675461423
79,10336660,0.36004788906140284,0.5617219380079326,0.33173959227286876,0.1265667974948883,0.213024717561873,13.33170223236084,5.291840496508902,0,0,318,0,903,387,-5.402150321024411,-3.01958510245403
80,12010000,0.8011271067416161,0.20866256166087455,0.7181527217538242,0.48286309838294983,0.5748928906962621,27.41972541809082,20.647144537845794,0,0,758,347,199,154,-3.4726012666160666,-3.7662964549887645
81,12041200,0.7370183317231298,0.12470350703261825,0.9981932361854058,2.513859987258911,0.9900905486199765,26.520662307739258,27.229855560676356,0,0,20,439,45,86,-1.4571230760686738,-2.1672472645188363
82,12048000,-1.6223335655373914,-0.8762381908093884,1.9949735070485393,0.6542529463768005,0.995387377368369,6.360792636871338,11.324104055540339,0,0,0,25,16,15,-1.9331909175266755,-2.1375932354112908
83,12115000,0.7835320701334728,0.08002280721199162,0.8203263934458689,0.6965838074684143,0.8382089422845924,15.631341361999487,13.583464426510552,0,0,465,208,40,29,-2.60667034836343,-2.601142603813793
84,12117000,0.7439555910373801,0.06285682913137837,1.191218597173003,1.1538182497024536,0.6868268848842466,12.746944427490234,12.964751445291189,0,0,0,288,15,48,-2.0846473603973035,-2.2617730431986898
85,12144000,0.7497021343710364,0.1644246022381451,0.8570934221510318,1.4111862182617188,1.1859742985350228,15.962597846984863,12.9704108019135,0,0,5,35,26,32,-2.014521626202477,-2.011154712059251
86,13011500,0.8057598601826508,-0.049716263256630845,0.7934154510835143,0.16775716841220856,0.3157335601655068,8.61153507232666,7.463779301570167,0,0,0,0,748,627,-1.9129446614778478,-2.069560146956992
87,14137000,0.7255522478411571,-0.03443932368538902,1.0112096888552713,1.0595813989639282,0.4311584304528131,12.138650512695293,13.215024535256983,0,0,0,1020,28,21,-2.2907517982362275,-3.27059785702848
88,14316700,0.7922766411960455,0.15077901297536925,0.7685886819496113,0.1457097828388214,0.24534133470865316,11.078107261657692,8.37510960293442,0,0,1234,629,239,138,-5.51617585044473,-4.671744022653467
89,10259000,0.4777364391268163,0.699014704624852,0.43372720595853487,0.03933081403374672,0.024664971406044074,0.6336631178855896,0.13895842311405543,0,0,184,0,42,53,-1.9450118850457294,-0.9434868703783025
90,01137500,0.7376234360971146,-0.060820925471290255,1.0317904787266323,0.5178257822990417,0.5955183188837411,8.558149909973126,8.698800884491165,0,0,43,9,122,97,-2.3775191732472676,-2.315883228350492
91,01139000,0.7413943038292805,0.02834311023804343,0.9757084635750862,0.28715912699699436,0.27814199794891253,5.352300310134872,5.248678050165081,0,0,144,79,53,65,-2.333661340377595,-2.709335808991853
92,01411300,0.3406872202033666,0.0021850473833776277,1.2309156207027834,0.33751145005226135,0.20060436233093412,3.2830660343170166,3.696290580715868,0,0,29,57,18,49,-1.7517511753200468,-2.6780676621851303
93,01543000,0.8507869772251212,0.0015121265860060021,0.8496337499803461,0.05906450375914574,0.15291445582768012,5.805693292617779,5.3191890428542905,0,0,933,523,177,104,-3.635643218538968,-3.164865771437097
94,01550000,0.7629848005688097,0.0795261202120628,0.7563511978855356,0.09286442399024963,0.15142090888053272,5.462613105773926,4.853333207413052,0,0,772,495,118,82,-3.1891604044763158,-2.8999616535103567
95,01634500,0.6753509382299044,-0.12711282879893215,0.7784786310497609,0.07866002395749096,0.09342559118980508,3.372467279434204,3.8171389567472653,0,0,346,635,218,160,-3.532580517025468,-3.469913807431179
96,02046000,0.6126422777090157,-0.23668768241750818,0.8490562010531562,0.012544672936201096,0.18536186834972992,3.4874191284179688,3.635795065881421,3,0,1255,13,262,118,-4.182074653033026,-2.318478695705191
97,02096846,0.5883399665585494,-0.3683796508088481,0.6502076056246772,0.0,0.2824668061418488,2.632052183151245,2.3771948879206737,438,0,1547,0,461,59,-5.3442078606986465,-1.6454871256497603
98,02102908,-0.0856223117785313,0.13560125030111503,1.6475356181482628,0.4087294638156891,0.2041090689779635,2.8487205505371094,2.9463019852287182,0,0,12,86,20,78,-1.3054027536024961,-2.0278100568576005
99,02143000,0.8259849204300425,-0.024761767291753858,0.8670248580854457,0.26124683022499084,0.2814251006204528,3.0793051958084043,3.51521187951834,0,0,78,9,50,57,-1.8758763672668033,-1.9499698434653308
100,02202600,0.6925936085179464,-0.21023961903313249,0.9606934489921122,0.0012627583928406239,0.04669738118561358,2.5051496028900146,2.7004847678907486,5,0,1872,107,795,463,-8.354061745936345,-3.069422050263558
101,02361000,0.6141851780956842,0.08415847531405543,0.9616464405373444,0.12811659276485443,0.1280166801793264,3.5969076395034714,3.4801585912900714,0,0,326,109,90,133,-2.4313529192230066,-3.1004492816609712
102,02384540,0.741264392250554,0.15665739414527238,0.7104223257032802,0.09967134892940521,0.2664695852260921,6.521705627441406,4.283273008662574,0,0,738,91,129,60,-3.1200588399429035,-2.626452807268452
103,04074950,-0.8958245989310896,-0.17879342936911563,2.0595891081079625,0.3612757623195648,0.3013698315628332,1.718611240386963,2.370196479557444,0,0,0,0,0,40,-1.0925556572017048,-1.6668363265257133
104,03340800,0.785970614148235,-0.1673045358075314,0.9442337740890973,0.019716495648026466,0.06857592811310619,3.820920944213867,4.631926652939584,0,0,1293,577,299,295,-4.258613907550019,-3.4325536979136704
105,03604000,0.7580564322635174,0.11063084258185388,1.0695349481392322,0.37209317088127136,0.1274509175401006,4.2917561531066895,5.023673153354518,0,0,4,226,87,246,-2.006471228606796,-3.3235223422162194
106,05503800,0.6578946951858001,-0.29128934519614424,0.9757194559595406,0.0,0.019311632653523578,3.545051503181451,4.314313847265296,622,0,1667,859,1059,646,-7.942542086719951,-4.85936883121802
107,05584500,0.7561665620910911,0.025907553109575293,0.7335821513008264,0.01587076671421528,0.07228050280929417,3.448284864425659,2.962247713634219,0,0,1135,219,463,259,-4.5066450341470565,-3.2666753246985882
108,05593575,0.772414746840516,-0.030695212822004696,0.8464867051519388,0.0034752069041132927,0.050985542281355045,4.887710094451904,3.714806725913338,16,0,1193,113,891,534,-5.344207897295565,-3.6175914863579894
109,06224000,0.8415770663775004,0.14609287043316885,0.7452416349515595,0.0758047103881836,0.1647175127024859,5.660085201263428,4.632499950229855,0,0,203,1,754,474,-4.951582303604422,-3.9391359094729204
110,06470800,0.3510995241225324,0.24571542607959806,0.4459492755414808,0.0009265020489692688,0.03697703029958629,1.1395975351333618,0.7941108956475738,120,0,1501,0,1166,292,-7.645409654249427,-2.349484643401622
111,06632400,0.897870325547403,-0.014185689021358786,0.8220191650279739,0.11418511718511581,0.2126668967581772,6.748941278457625,6.280473565073287,0,0,0,0,779,639,-2.1004460016968034,-1.7043048235666804
112,06878000,0.3962045834709833,-0.18674388454411012,0.9488558059862174,0.019530663266777992,0.028040662127652716,0.7749263048171997,1.1344280932128064,0,0,184,146,293,340,-2.3566806020297975,-2.966745344987297
113,07057500,0.3610589893580365,-0.06911572316649113,1.543400068023504,0.45819735527038574,0.16847195969359824,2.831727147102347,4.080079981955438,0,0,0,0,45,183,-1.5363112615443417,-2.841676545653789
114,07083000,0.7432710957565307,-0.38212967390809716,1.1249053817118366,0.13672804832458496,0.23034057900306887,5.066980361938477,5.877269423368084,0,0,0,0,526,285,-3.4929681725357344,-4.107593905026139
115,07167500,0.7539677574817837,-0.06865536343619365,0.7713663228210158,0.003369881771504879,0.03957934371662576,2.9427859067916593,3.060778693870532,0,0,1380,411,597,400,-5.663482221849637,-3.490857387525803
116,07315200,0.1960884909111491,-0.6649991977220192,0.8591605531098966,0.0,0.014368606806732522,0.12211088091135025,0.5149919470276826,3080,0,3080,17,5479,396,-inf,-2.4711863783785204
117,08023080,0.5617340195929017,-0.026497240968307276,0.7878817484147727,0.0,0.12925586072465012,5.5033451557159285,3.0887008330789776,921,0,1925,2,932,248,-8.159947594660263,-2.6154228899412133
118,08190000,0.28602385878302905,0.40284760329875124,0.6613393223925234,0.03718579187989235,0.02034939081349858,0.6758838474750511,0.44698772920406316,0,0,60,7,117,243,-2.218059687395849,-2.6191799929394817
119,08196000,0.0995986725227127,0.28568166746029766,0.8230591259929192,0.009750330820679665,0.02843979164570919,0.7650259733200073,0.38956772859327615,0,0,626,0,255,177,-3.1812790361375036,-1.7662182370963273
120,08200000,0.5190678652503511,0.3393575509746645,0.43127734178328553,8.896745202946814e-05,0.05358347201270653,1.542102575302124,0.815110970193059,274,0,1689,0,501,164,-6.301338005090411,-2.0030597601124303
121,08271000,0.8625804343942491,-0.03228784034946987,0.9786036209323022,0.2447974532842636,0.22815301046833003,3.7004268169403076,3.5778456965018455,0,0,0,0,125,118,-1.8328926707714743,-2.4044968372259548
122,09035900,0.3750866301847111,-0.33083597251158375,1.6683775545379753,0.2724727392196655,0.22927827176411805,5.311493873596191,8.44954802535843,0,0,0,2,390,769,-1.4923528793498704,-2.0349349287106695
123,09065500,0.8398466676408611,0.04637522056041079,0.9172697930150129,0.1499016433954239,0.2535186356072387,9.841368675231934,9.50971090046328,0,0,0,0,774,783,-3.2147634935415215,-2.5677125609473093
124,09404450,0.2064336852252484,0.015078926754726794,1.4699219262577603,0.054766010493040085,0.06040229879802578,0.331143319606781,0.5084754146055979,0,0,0,0,40,109,-1.6958053546756646,-1.2718297257828741
125,09497980,0.2178076812290074,-1.7566754523955208,1.646801553368455,0.013230448588728905,0.04258212930720065,0.3548595309257482,1.1587321637922947,0,0,0,0,381,462,-1.1192731753598217,-2.25942855023933
126,12025700,0.8261409491900016,0.06814704216306731,0.892493129530508,0.5197676420211792,0.39188759503776927,17.719350814819336,15.480749120469161,0,0,385,789,116,100,-3.360530438842727,-3.7610079407288763
127,12035000,0.8077306260509546,0.21731733517915575,0.7560966216983936,0.7835232198238374,0.5504891968684329,23.45196533203125,19.598164390902134,0,0,240,363,140,155,-3.5137001499548006,-3.3907217413457427
128,12040500,0.7055940028288171,0.21504834853963284,0.6360553796249063,1.0828580379486086,1.2131275787965925,32.279747009277344,23.384937460436163,0,0,325,141,119,64,-2.318431167412321,-1.9852350548975988
129,13011900,0.8776176272976558,-0.08925501829988927,1.0131257383927692,0.2925795912742615,0.3580020687219414,7.083351564407332,7.328057034385036,0,0,0,0,442,530,-1.9394776435336818,-2.173606389850409
130,13331500,0.7209041288367721,-0.029269447459630487,1.007079352252392,0.2401956468820572,0.37760870613444963,7.052301788330056,6.907938347393971,0,0,3,0,339,247,-3.2696250909839786,-2.423202318076725
131,14138800,0.6468562829420372,-0.0035009916193000797,0.6267311149455215,0.24290908873081207,0.8856228044300296,24.17523765563965,16.988362056229985,0,0,1116,545,171,24,-3.6484023540713797,-2.5451036975711467
132,14158790,0.7571500236477019,0.07942416715060818,0.8762779423159319,0.23917478322982788,0.39761729601844925,17.512260246276792,15.180957486876455,0,0,1438,926,109,73,-4.489710983402118,-3.897447377968359
133,14303200,0.7703591466229488,-0.12578678041855187,1.0861489868497718,0.3670027554035187,0.38459256956725674,18.961809158325195,24.30053127055491,0,0,933,990,141,207,-3.832113513877486,-4.417820275020521
134,11476600,0.9029700160553176,0.005169850928313991,0.9574419287483306,0.022499161772429953,0.09945844060440837,17.958972930908203,16.95777030855676,0,0,1545,1344,890,876,-7.025252910641375,-6.639120450179885
135,01054200,0.6695213144387846,-0.04667626166921163,0.7750349625856581,0.2851389944553375,0.41437401673092134,10.550142288208008,9.734068640174822,0,0,199,146,246,108,-2.8072995153586877,-2.7205177191706276
136,01078000,0.7620723031133572,0.048803587351677905,0.8270709040139858,0.14318667352199554,0.3151742451372183,7.0723204135894715,5.336752311480321,0,0,512,0,165,63,-2.8312400280755705,-2.396811944505516
137,01123000,0.7311588738402346,0.11175309257293845,0.8880404368921649,0.21735736727714539,0.2720486619238483,5.134674072265625,4.440142899639014,0,0,282,0,80,54,-2.7210351019686714,-2.7744792171074626
138,01142500,0.7728432148461565,0.028362366213081105,0.8565758624654449,0.219991073012352,0.3277783769192589,5.8870849609375,5.596503069401975,0,0,295,60,72,43,-2.443866293513395,-2.372971309854252
139,01439500,0.6818158390002738,0.07164335282084036,1.178613388035131,0.12115795910358429,0.18271947516626863,5.955317354202258,6.135529724600215,0,0,735,542,52,106,-2.503453353191071,-2.9213125260663637
140,01547700,0.7889296708049723,0.0330943142124631,0.6687997724496659,0.03642980754375458,0.12127954735445809,4.7144455909729,3.8241153149881066,0,0,1138,639,238,79,-4.324595031139107,-3.071492077217602
141,01583500,0.5819953816593229,-0.06326138431394383,1.0739738534637442,0.284457802772522,0.27670001126790683,2.5127105712890625,3.0203816569240343,0,0,86,0,26,31,-1.7163497769067941,-1.9370028520384455
142,01606500,0.6924829282980418,-0.04148463642864974,0.8032960869037588,0.11613297462463379,0.1492261366184353,4.195303440093994,4.103274278369187,0,0,393,328,145,86,-3.4188265674408176,-3.1044126785690245
143,01667500,0.8225675635984893,-0.06937665131510667,0.9293267039589943,0.09086846560239792,0.18435323752093086,3.3338631391525158,3.652656247023404,0,0,507,55,88,107,-2.8075773209858976,-2.477300067076473
144,02017500,0.7378202431947194,-0.055675414381602166,1.0923623372123992,0.08550290018320084,0.14367371351551186,3.9880352020263623,3.6945279810328784,0,0,541,102,191,134,-4.22989032694194,-3.025197521268109
145,02140991,0.820299439350234,-0.003845798528157491,0.8215689522061885,0.38083380460739136,0.49741756496320877,3.6592957973480145,3.776424382326859,0,0,70,0,44,24,-1.9231848403332528,-1.4775916538606195
146,02212600,0.8191019216846714,-0.1645683541213853,0.8609226641783606,0.002094253897666931,0.13726900482031068,2.735619068145752,2.544934951115046,109,0,1203,0,441,193,-4.235204679286833,-2.1893424109730604
147,02221525,0.41294113691913314,-0.20334770390152523,1.5023665351107387,0.032827429473400116,0.07553530887684823,2.4471356868743896,3.2642530204356195,0,0,730,111,194,315,-2.6693599346057546,-2.994960917710237
148,02349900,0.7075206237254272,-0.2583297671527458,1.028796259758964,0.05880199372768402,0.1531569708410782,2.8560969829559326,3.3920931549336273,0,0,202,0,346,184,-3.8687479870370667,-2.4741480774210203
149,02415000,0.7946301674501296,0.002092026367040667,0.7892298546439022,0.08952935039997101,0.27169651886709734,4.454085111618028,4.174164363282762,0,0,617,12,111,101,-3.0108295261922393,-2.2923262422324164
150,02472000,0.8332409620970714,-0.23111455691188418,1.0096578423781213,0.10048120468854904,0.17935864078071853,4.989718532562235,5.1150168817145225,0,0,106,47,458,217,-3.3291281474791203,-3.192882236108001
151,03015500,0.7543072817626777,0.18346228631791528,0.777047966886351,0.17664150893688202,0.1617828068745187,6.653496742248535,4.941417484815956,0,0,493,485,116,90,-2.9427975115777953,-3.0167848139967286
152,03021350,0.3412514550997745,0.5078408852130742,0.36879101656623137,0.10272087901830673,0.10995762503392509,9.297266101837153,3.6409022709420578,0,0,771,627,254,67,-3.259860974542544,-3.1457880875548665
153,03238500,0.6043416888338728,0.07278195243444693,0.673799028883254,0.0,0.04956300644979301,6.329113960266113,5.034228806672431,298,0,1171,777,662,405,-5.16590345185473,-3.968485972649115
154,03456500,0.7887955674297884,-0.06771111587915926,0.7613834047967916,0.42205315828323364,0.7147741104643806,6.371167469024638,6.12118800978707,0,0,143,0,50,24,-2.0057413917141034,-1.7242700278392968
155,05458000,0.7149520988085005,-0.12273092551057316,0.7392888245733851,0.08338518440723419,0.1632209471814699,2.4246557712554915,2.431550423184589,0,0,60,0,272,103,-3.0118222259972085,-2.123615552042175
156,05489000,0.6941026490848254,0.040502599537475974,0.7414449266917671,0.007075106259435415,0.040049295186564624,3.0347152471542223,3.07184970239359,0,0,1240,258,642,482,-5.54613862661597,-3.530300438328932
157,05495500,0.6045492251202509,0.09723938072418674,0.6220559196961182,0.0018115370767191061,0.03886927654086682,3.2250233888625948,2.7005391356073396,0,0,1378,297,741,446,-5.857085112834985,-3.495215195074048
158,08013000,0.56477426909667,-0.08926895470331352,0.9759544925961434,0.04545244202017784,0.1091340539816775,5.986465787887563,5.558381961540759,0,0,463,258,893,317,-5.0152982624532525,-3.5241113644368727
159,06404000,0.7384814069770753,-0.02499557227206471,0.8102796669113258,0.00016126826812978834,0.031807548862327624,0.5483121275901794,0.5464693373019582,271,0,1148,0,343,258,-4.149961484201441,-2.044231952884632
160,06614800,-0.46136307870278115,-1.2826511472696955,1.7361372003051174,0.17182399332523346,0.3818969131742245,9.204856872558594,18.576168118299766,0,1,0,5,782,886,-3.352528381934225,-4.525257244109204
161,06803510,0.5765747375760762,-0.31420320088615494,1.160749858141733,0.03901508450508118,0.023776117099737995,0.5635512471199036,1.1843218168981005,0,0,103,93,133,424,-1.7811717696932894,-3.0217395047675746
162,06879650,0.452061818315627,-0.3531593118570678,0.9713891478218316,0.0,0.11632186251330971,1.6659367799758784,1.7541244514634633,2814,0,2814,0,5479,222,-inf,-2.1763675064608163
163,07208500,0.42986889787171456,-0.33215057367040085,1.1895533064641202,0.029077909886837006,0.04049468715877547,0.6702457904815594,0.9577200071157759,0,0,66,1,227,243,-1.6277056979396691,-2.607233374405692
164,07335700,0.7460057826689569,-0.13707199234778902,0.7600620295768314,0.0,0.2405535297964934,6.565109109878527,6.4481035553921755,692,0,1728,227,351,155,-6.43496022420931,-2.1687482869622445
165,08104900,0.4605516417567107,0.14252394905981391,0.6887441390818912,0.0009237155318260193,0.011130543472556301,1.3145183324813843,1.205903224189272,67,0,1911,263,845,644,-8.981768523526211,-4.234307523123935
166,08150800,-0.34577755300102986,-1.0294203188078297,1.312702600909198,0.0005274597788229585,0.02450035924614259,0.24614788591861725,0.6148072057350007,63,0,822,2,373,282,-3.481286445830753,-2.795771177596225
167,08158700,0.5641867275033465,-0.2503897180225042,1.1513451622178783,0.0,0.03589538897835595,1.699533462524414,1.7541377222886279,951,0,1814,12,1533,512,-9.630466090851781,-4.33896938305397
168,08202700,0.08790086800869823,-4.186951970165794,1.2511346859319126,0.0,0.03422762516053126,0.0,1.0426125703002744,5273,0,5273,0,5479,469,,-2.5617362510548123
169,08324000,-0.7101517202662415,-1.2767541403141567,1.3921357603747564,0.026139184832572937,0.10263901707781023,0.4745267331600189,0.7010802857903824,0,0,1,0,243,29,-1.2722843874599654,-1.6204941904605954
170,08378500,0.7125538286903992,-0.04307120960414459,0.9223456524103993,0.09000305086374283,0.13885687287214338,1.8700634241104126,1.6383868862842552,0,0,0,1,242,138,-2.0099823965132737,-2.1033889013419276
